ISO,Country,Data source,Sector,Gas,Unit,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
BRA,Brazil,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,92.28,82.53,88.36,91.93,95.12,88.98,98.49,102.38,105.38,106.76,110.58,101.89,87.18,97.26,97.17,87.93,87.52,88.84,85.95,86.69,83.72,85.81,78.28,73.47,71.37,67.44,61.8,57.89,55.84,53.51,52.69,49.41
KOR,South Korea,Climate Watch,Industrial Processes,All GHG,MtCO₂e,87.16,81.51,80.63,77.46,76.17,73.55,69.72,68.18,66.41,64.89,63.42,61.89,59.26,58.9,57.23,60.02,58.14,61.2,58.66,52.81,50.02,47.51,43.54,39.75,43.83,39.19,36.24,33.72,30.56,26.21,21.26,17.16
SAU,Saudi Arabia,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,85.85,87.11,94.47,95.2,97.58,105.39,119.03,116.2,100.41,99.93,110.37,111.09,91.23,89.01,79.89,72.64,67.0,65.98,62.43,60.19,52.4,53.02,52.47,49.15,42.01,46.16,40.1,37.75,31.48,32.31,28.24,28.24
TUR,Türkiye,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,81.74,73.62,67.39,73.02,69.05,51.27,50.81,48.17,46.67,54.32,52.31,48.91,41.82,37.72,63.27,63.42,55.23,58.91,60.25,53.35,42.62,58.32,41.56,47.24,45.74,42.28,33.84,30.47,33.31,33.31,34.74,32.91
VNM,Vietnam,Climate Watch,Industrial Processes,All GHG,MtCO₂e,71.47,68.87,64.36,56.48,48.59,41.69,38.18,36.19,33.43,30.84,30.56,25.72,21.0,16.93,15.44,13.45,12.98,11.23,10.22,9.05,7.28,6.26,5.0,4.61,3.79,3.1,2.69,2.19,1.95,1.86,1.4,1.16
ARE,United Arab Emirates,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,70.74,73.4,68.29,53.54,70.28,83.65,81.18,72.51,76.05,72.14,66.38,63.23,60.02,51.93,42.51,34.14,34.99,33.94,35.98,37.86,41.65,33.72,38.7,39.41,39.96,37.76,36.11,34.0,29.63,29.62,33.39,26.68
CAN,Canada,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,68.53,64.19,71.63,71.4,71.51,70.23,65.62,65.11,65.83,67.7,66.65,62.41,58.1,65.63,68.21,67.48,70.04,84.36,82.17,78.79,77.45,83.51,79.95,79.18,81.74,81.8,78.3,77.13,73.87,73.99,74.93,76.97
KOR,South Korea,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,65.57,64.39,65.88,72.58,72.55,73.47,76.75,72.68,77.45,76.73,80.55,78.86,69.61,78.0,73.8,79.47,74.42,81.06,83.46,86.38,96.96,96.25,85.56,77.96,86.84,87.77,83.13,79.5,71.27,63.27,61.39,51.65
PAK,Pakistan,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,64.47,60.82,45.93,53.67,53.17,46.99,41.86,38.36,33.71,35.79,38.2,38.55,40.21,39.74,44.94,40.61,37.33,34.95,29.96,25.07,22.65,22.44,22.89,22.34,21.57,21.74,22.29,20.72,20.78,19.04,16.27,16.89
JPN,Japan,Climate Watch,Industrial Processes,All GHG,MtCO₂e,61.76,61.79,65.25,68.72,71.59,73.75,70.38,67.62,63.76,59.8,56.1,53.32,52.02,55.27,56.19,56.95,54.71,54.94,58.83,59.63,65.28,75.16,75.25,84.17,91.26,93.17,90.66,84.71,79.83,79.54,76.99,73.3
CMR,Cameroon,Climate Watch,Industrial Processes,All GHG,MtCO₂e,60.88,60.28,59.79,59.58,59.24,58.92,58.44,58.09,57.94,57.68,57.44,57.19,57.14,57.01,56.98,56.83,56.75,56.76,56.72,56.72,56.73,56.7,56.63,56.54,56.44,56.27,56.32,56.32,0.67,0.69,0.68,0.74
RUS,Russia,Climate Watch,Industrial Processes,All GHG,MtCO₂e,56.87,53.74,53.91,54.14,55.0,55.36,56.35,61.08,59.2,53.84,46.03,45.72,41.4,51.31,54.91,53.37,53.69,50.96,44.74,48.67,54.55,55.84,49.3,47.26,44.5,42.45,49.71,49.89,59.25,75.03,56.62,57.34
TUR,Türkiye,Climate Watch,Industrial Processes,All GHG,MtCO₂e,54.98,51.14,42.05,48.48,47.91,45.34,42.82,43.15,41.8,39.1,38.38,36.33,31.83,29.21,27.21,25.35,22.45,20.25,18.75,18.05,17.32,17.42,16.84,17.58,17.34,16.81,16.24,15.37,14.94,15.52,14.33,12.76
THA,Thailand,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,54.71,54.77,54.63,49.15,54.04,52.81,58.23,51.27,51.43,49.61,44.92,50.8,45.5,46.31,41.89,49.12,46.33,43.86,38.73,38.32,34.11,31.31,31.87,28.58,33.4,36.46,32.32,28.19,23.88,19.51,16.75,15.05
IRN,Iran,Climate Watch,Industrial Processes,All GHG,MtCO₂e,54.09,54.74,50.17,44.09,42.68,42.33,41.89,44.8,45.72,42.99,40.25,36.6,30.61,27.21,24.54,21.94,20.36,19.91,18.71,18.05,17.57,15.85,14.65,13.55,12.9,12.07,11.76,11.29,10.75,10.13,9.97,9.58
ZAF,South Africa,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,49.42,48.61,52.29,54.64,46.44,49.39,49.61,53.75,52.0,45.92,44.85,51.84,61.58,44.23,43.09,49.53,53.41,49.49,42.48,40.18,36.85,40.92,41.19,47.98,45.43,41.7,37.51,36.68,35.72,43.25,49.2,54.53
FRA,France,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,46.39,36.1,38.65,40.58,41.61,46.55,44.86,46.49,49.12,47.98,50.5,45.34,41.47,52.77,54.28,55.08,55.4,53.35,56.89,57.42,59.62,55.72,56.9,58.77,61.93,62.94,59.68,57.49,57.78,61.7,61.32,60.88
MEX,Mexico,Climate Watch,Industrial Processes,All GHG,MtCO₂e,43.34,42.06,41.36,40.56,40.07,39.28,37.94,36.44,35.01,34.87,34.17,32.36,32.12,32.13,31.33,28.45,25.0,22.93,21.14,20.65,19.35,19.99,19.73,18.35,17.79,16.85,13.6,15.83,14.55,13.56,13.37,12.96
MEX,Mexico,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,43.19,51.07,56.15,51.0,68.67,62.15,66.28,59.26,66.05,61.74,68.23,62.43,52.32,64.64,62.4,66.48,58.99,56.54,52.62,51.67,48.08,53.14,52.08,56.62,55.21,55.1,49.53,51.11,50.25,51.96,52.28,53.55
